iter	Passed	Remaining
669	3263	1607
670	3267	1602
671	3271	1596
672	3275	1591
673	3279	1586
674	3284	1581
675	3288	1576
676	3293	1571
677	3297	1565
678	3301	1560
679	3304	1555
680	3309	1550
681	3313	1544
682	3317	1539
683	3321	1534
684	3325	1529
685	3329	1523
686	3332	1518
687	3336	1513
688	3341	1508
689	3345	1502
690	3349	1497
691	3353	1492
692	3357	1487
693	3361	1482
694	3365	1477
695	3369	1471
696	3374	1467
697	3378	1461
698	3382	1456
699	3387	1451
700	3392	1446
701	3396	1441
702	3401	1436
703	3406	1432
704	3410	1426
705	3413	1421
706	3417	1416
707	3423	1411
708	3427	1406
709	3431	1401
710	3436	1396
711	3441	1391
712	3445	1387
713	3449	1381
714	3454	1377
715	3458	1371
716	3462	1366
717	3466	1361
718	3471	1356
719	3475	1351
720	3480	1346
721	3484	1341
722	3489	1336
723	3493	1331
724	3497	1326
725	3502	1321
726	3506	1316
727	3510	1311
728	3514	1306
729	3519	1301
730	3523	1296
731	3528	1291
732	3532	1286
733	3537	1282
734	3542	1277
735	3546	1271
736	3550	1267
737	3555	1262
738	3560	1257
739	3565	1252
740	3570	1247
741	3576	1243
742	3580	1238
743	3585	1233
744	3590	1228
745	3594	1223
746	3599	1219
747	3606	1214
748	3614	1211
749	3620	1206
750	3624	1201
751	3629	1196
752	3635	1192
753	3639	1187
754	3644	1182
755	3650	1178
756	3654	1173
757	3659	1168
758	3664	1163
759	3668	1158
760	3673	1153
761	3678	1148
762	3682	1143
763	3686	1138
764	3691	1133
765	3695	1128
766	3699	1123
767	3703	1118
768	3707	1113
769	3711	1108
770	3715	1103
771	3720	1098
772	3725	1093
773	3731	1089
774	3739	1085
775	3745	1081
776	3751	1076
777	3758	1072
778	3764	1067
779	3771	1063
780	3776	1059
781	3781	1054
782	3785	1049
783	3791	1044
784	3796	1039
785	3801	1034
786	3806	1030
787	3811	1025
788	3818	1021
789	3824	1016
790	3829	1011
791	3832	1006
792	3837	1001
793	3842	996
794	3846	991
795	3850	986
796	3854	981
797	3859	976
798	3863	971
799	3869	967
800	3873	962
801	3877	957
802	3881	952
803	3887	947
804	3891	942
805	3895	937
806	3900	932
807	3905	927
808	3908	922
809	3912	917
810	3918	913
811	3924	908
812	3929	903
813	3934	899
814	3939	894
815	3944	889
816	3949	884
817	3953	879
818	3957	874
819	3961	869
820	3966	864
821	3970	859
822	3975	854
823	3980	850
824	3984	845
825	3989	840
826	3993	835
827	3998	830
828	4002	825
829	4006	820
830	4010	815
831	4015	810
832	4019	805
833	4023	800
834	4026	795
835	4031	790
836	4035	785
837	4040	781
838	4044	776
839	4048	771
840	4053	766
841	4057	761
842	4063	756
843	4067	751
844	4071	746
845	4075	741
846	4080	737
847	4085	732
848	4090	727
849	4095	722
850	4099	717
851	4103	712
852	4108	707
853	4112	703
854	4116	698
855	4120	693
856	4125	688
857	4130	683
858	4134	678
859	4139	673
860	4143	668
861	4148	664
862	4152	659
863	4156	654
864	4161	649
865	4165	644
866	4169	639
867	4173	634
868	4177	629
869	4181	624
870	4185	619
871	4189	614
872	4194	610
873	4198	605
874	4202	600
875	4207	595
876	4211	590
877	4215	585
878	4219	580
879	4223	575
880	4227	571
881	4231	566
882	4235	561
883	4240	556
884	4244	551
885	4248	546
886	4252	541
887	4257	537
888	4262	532
889	4266	527
890	4271	522
891	4275	517
892	4280	512
893	4284	507
894	4289	503
895	4293	498
896	4297	493
897	4301	488
898	4306	483
899	4310	478
900	4314	474
901	4319	469
902	4322	464
903	4326	459
904	4330	454
905	4335	449
906	4339	444
907	4343	440
